,city
1124,    Paris 
1125,    Fleurance 
1126,    Fleurance 
1127,    Fleurance 
1128,    Fleurance 
1129,    Saint-Jean-de-Monts 
1130,    Saint-Jean-de-Monts 
1131,    Angers 
1132,    Le Touquet-Paris-Plage 
1133,    Le Touquet 
1134,    Leuven 
1135,    Leuven 
1136,    Bastogne 
1137,    Nancy 
1138,    Valentigney 
1139,    Divonne-les-Bains 
1140,    Le Bourg-d'Oisans 
1141,    Montgenèvre 
1142,    Le Barcarès 
1143,    Font Romeu Ermitage 
1144,    Saint-Gaudens 
1145,    Saint-Lary 
1146,    Pau 
1147,    Fleurance 
1148,    Auch 
1149,    Langon 
1150,    Lacanau-Océan 
1151,    Sainte-Foy-la-Grande 
1152,    Tulle 
1153,    Montargis 
1154,    Paris 
1155,    Paris 
1156,    Saint-Jean-de-Monts 
1157,    Saint-Jean-de-Monts 
1158,    Saint-Jean-de-Monts 
1159,    Saint-Jean-de-Monts 
1160,    Charleroi 
1161,    Charleroi 
1162,    Brussel/Bruxelles 
1163,    Roubaix 
1164,    Amiens 
1165,    Versailles 
1166,    Sablé-sur-Sarthe 
1167,    Merlin-Plage 
1168,    Croix-de-Vie 
1169,    Angoulême 
1170,    Langon 
1171,    Fleurance 
1172,    Auch 
1173,    Pau 
1174,    Tarbes 
1175,    Albi 
1176,    Aurillac 
1177,    Nice 
1178,    Barcelonnette 
1179,    Valloire 
1180,    Morzine 
1181,    Thonon-les-Bains 
1182,    Pouilly-en-Auxois 
1183,    Melun 
1184,    Paris 
1185,    Charleroi 
1186,    Charleroi 
1187,    Charleroi 
1188,    Charleroi 
1189,    Brest 
1190,    Brest 
1191,    Plymouth 
1192,    Morlaix 
1193,    Saint-Malo 
1194,    Caen 
1195,    Dieppe 
1196,    Harelbeke 
1197,    Mons 
1198,    Châlons-sur-Marne 
1199,    Chaumont 
1200,    Besançon 
1201,    Gaillard 
1202,    Aix-les-Bains 
1203,    Savines-le-Lac 
1204,    Avignon 
1205,    Lodève 
1206,    Colomiers 
1207,    Seo de Urgel 
1208,    Saint-Lary 
1209,    Bagnères-de-Bigorre 
1210,    Pau 
1211,    Bordeaux 
1212,    Croix-de-Vie 
1213,    Vouvray 
1214,    Orléans 
1215,    Orléans 
1216,    Brest 
1217,    Brest 
1218,    Brest 
1219,    Scheveningen 
1220,    Scheveningen 
1221,    Rotterdam 
1222,    Sint-Niklaas 
1223,    Sint-Niklaas 
1224,    Roubaix 
1225,    Reims 
1226,    Nancy 
1227,    Belfort 
1228,    Divonne-les-Bains 
1229,    Gaillard 
1230,    Moutiers 
1231,    Embrun 
1232,    Nice 
1233,    Montpellier 
1234,    Perpignan 
1235,    Thuir 
1236,    Bourg-Madame 
1237,    Luchon 
1238,    Pau 
1239,    Fleurance 
1240,    Bordeaux 
1241,    Saint-Foy 
1242,    Brive-la-Gaillarde 
1243,    Bourges 
1244,    Versailles 
1245,    Versailles 
1246,
1247,
1248,
1249,
1250,    Angers 
1251,    Angers 
1252,    Saint-Brieuc 
1253,    Pornichet 
1254,    Merlin-Plage 
1255,    Merlin-Plage 
1256,    Royan 
1257,    Bordeaux 
1258,    Bordeaux 
1259,    Bayonne 
1260,    Pau 
1261,    Luchon 
1262,    Castres 
1263,    Carnon-Plage 
1264,    Carpentras 
1265,    Orcières 
1266,    Briançon 
1267,    Valloire 
1268,    Aix-les-Bains 
1269,    Aix-les-Bains 
1270,    Pontarlier 
1271,    Belfort 
1272,    Auxerre 
1273,    Versailles 
1274,    Versailles 
1275,    Angers 
1276,    Angers 
1277,    Angers 
1278,    Mulhouse 
1279,    Mulhouse 
1280,    Basel 
1281,    Freiburg im Breisgau 
1282,    Mulhouse 
1283,    Strasbourg 
1284,    Nancy 
1285,    Dinant 
1286,    Roubaix 
1287,    Amiens 
1288,    Rungis 
1289,    Nevers 
