0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,Name:,Thor,Family name:,Hushovd,Nationality:,Norway ,Gender:, ,Age:,41  years,,,,
,Name:,Brice,Family name:,Feillu,Nationality:,France ,Gender:, ,Age:,34  years,,,,
,Name:,Luis León,Family name:,Sánchez Gil,Nationality:,Spain ,Gender:, ,Age:,35  years,,,,
,Name:,Pierrick,Family name:,Fédrigo,Nationality:,France ,Gender:, ,Age:,40  years,,,,
,Name:,Mark,Family name:,Cavendish,Nationality:,Great Britain ,Gender:, ,Age:,34  years,,,,
,Name:,Mark,Family name:,Cavendish,Nationality:,Great Britain ,Gender:, ,Age:,34  years,,,,
,Name:,Nicki,Family name:,Sørensen,Nationality:,Denmark ,Gender:, ,Age:,44  years,,,,
,Name:,Heinrich,Family name:,Haussler,Nationality:,Australia ,Gender:, ,Age:,35  years,,,,
,Name:,Serguei,Family name:,Ivanov,Nationality:,Russia ,Gender:, ,Age:,44  years,,,,
,Name:,Alberto,Family name:,Contador Velasco,Nationality:,Spain ,Gender:, ,Age:,36  years,,,,
