,Date
1161,1975-06-27
1162,1975-06-27
1163,1975-06-28
1164,1975-06-29
1165,1975-06-30
1166,1975-01-07
1167,1975-02-07
1168,1975-03-07
1169,1975-04-07
1170,1975-05-07
1171,1975-05-07
1172,1975-07-07
1173,1975-08-07
1174,1975-09-07
1175,1975-10-07
1176,1975-11-07
1177,1975-07-13
1178,1975-07-14
1179,1975-07-15
1180,1975-07-16
1181,1975-07-17
1182,1975-07-18
1183,1975-07-19
1184,1975-07-20
1185,1975-07-20
1186,1975-07-20
1187,1975-07-20
1188,1975-07-20
1189,1974-06-27
1190,1974-06-28
1191,1974-06-29
1192,1974-06-30
1193,1974-01-07
1194,1974-02-07
1195,1974-03-07
1196,1974-03-07
1197,1974-04-07
1198,1974-05-07
1199,1974-05-07
1200,1974-06-07
1201,1974-07-07
1202,1974-09-07
1203,1974-10-07
1204,1974-11-07
1205,1974-12-07
1206,1974-07-14
1207,1974-07-15
1208,1974-07-16
1209,1974-07-17
1210,1974-07-18
1211,1974-07-18
1212,1974-07-19
1213,1974-07-20
1214,1974-07-20
1215,1974-07-21
1216,1974-07-21
1217,1974-07-21
1218,1974-07-21
1219,1973-06-30
1220,1973-01-07
1221,1973-01-07
1222,1973-02-07
1223,1973-02-07
1224,1973-03-07
1225,1973-04-07
1226,1973-05-07
1227,1973-06-07
1228,1973-08-07
1229,1973-08-07
1230,1973-09-07
1231,1973-10-07
1232,1973-11-07
1233,1973-12-07
1234,1973-07-13
1235,1973-07-13
1236,1973-07-15
1237,1973-07-16
1238,1973-07-17
1239,1973-07-18
1240,1973-07-18
1241,1973-07-19
1242,1973-07-20
1243,1973-07-21
1244,1973-07-22
1245,1973-07-22
1246,1973-07-22
1247,1973-07-22
1248,1973-07-22
1249,1973-07-22
1250,1972-01-07
1251,1972-02-07
1252,1972-03-07
1253,1972-04-07
1254,1972-04-07
1255,1972-05-07
1256,1972-06-07
1257,1972-06-07
1258,1972-07-07
1259,1972-09-07
1260,1972-10-07
1261,1972-11-07
1262,1972-12-07
1263,1972-07-13
1264,1972-07-14
1265,1972-07-16
1266,1972-07-17
1267,1972-07-17
1268,1972-07-18
1269,1972-07-19
1270,1972-07-20
1271,1972-07-21
1272,1972-07-22
1273,1972-07-23
1274,1972-07-23
1275,1972-07-23
1276,1972-07-23
1277,1972-07-23
1278,1971-06-26
1279,1971-06-27
1280,1971-06-27
1281,1971-06-27
1282,1971-06-28
1283,1971-06-29
1284,1971-06-30
1285,1971-01-07
1286,1971-02-07
1287,1971-02-07
1288,1971-04-07
1289,1971-05-07
1290,1971-06-07
1291,1971-07-07
1292,1971-08-07
1293,1971-10-07
1294,1971-11-07
1295,1971-12-07
1296,1971-07-13
1297,1971-07-14
1298,1971-07-14
1299,1971-07-15
1300,1971-07-16
1301,1971-07-17
1302,1971-07-18
1303,1971-07-18
1304,1971-07-18
1305,1971-07-18
1306,1970-06-26
1307,1970-06-27
1308,1970-06-28
1309,1970-06-29
1310,1970-06-29
1311,1970-06-30
1312,1970-01-07
1313,1970-01-07
1314,1970-02-07
1315,1970-03-07
1316,1970-03-07
